Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Size_USD,Reason,Leverage,Duration,equity,returns
ZILUSDT:USDT,Short,2025-02-03 01:00:00,2025-02-03 03:00:00,0.014341260000000002,0.0132765,32.70750936491085,447.0054001745157,Trailing_Win,5,0 days 02:00:00,1941.4654652674858,0.01713549340489573
HBARUSDT:USDT,Short,2025-02-09 21:00:00,2025-02-09 22:30:00,0.23041824,0.22733376,5.934447394525215,479.6267348784643,Trailing_Win,5,0 days 01:30:00,1947.399912662011,0.0030566844997717
FILUSDT:USDT,Short,2025-02-09 21:00:00,2025-02-09 22:45:00,3.3013839999999997,3.2785439999999997,2.835261793690005,479.6267348784643,Trailing_Win,5,0 days 01:45:00,1950.235174455701,0.0014559217011642644
FILUSDT:USDT,Short,2025-02-24 22:30:00,2025-02-24 23:00:00,3.075836,3.058104,2.291918863727185,481.57934880807886,Trailing_Win,5,0 days 00:30:00,1952.5270933194283,0.0011752012750805285
ZILUSDT:USDT,Short,2025-02-24 22:30:00,2025-02-25 00:15:00,0.013333280000000001,0.0132264,3.3749157971580876,481.57934880807886,Trailing_Win,5,0 days 01:45:00,1955.9020091165864,0.0017284860264963342
HBARUSDT:USDT,Short,2025-02-28 01:00:00,2025-02-28 02:00:00,0.20340238,0.19551024,18.229720894216367,482.75526779889617,Trailing_Win,5,0 days 01:00:00,1974.1317300108028,0.009320365135495834
FILUSDT:USDT,Short,2025-02-28 01:00:00,2025-02-28 03:00:00,3.250486,3.128244,17.654211474044132,482.75526779889617,Trailing_Win,5,0 days 02:00:00,1991.785941484847,0.008942772767219331
ZILUSDT:USDT,Short,2025-03-03 06:00:00,2025-03-03 15:00:00,0.014371199999999999,0.0138276,18.080659827633287,491.4848732570618,Trailing_Win,5,0 days 09:00:00,2009.8666013124803,0.00907761193160872
FILUSDT:USDT,Short,2025-03-03 06:00:00,2025-03-03 15:00:00,3.440106,3.299586,19.56440611838454,491.4848732570618,Trailing_Win,5,0 days 09:00:00,2029.4310074308648,0.009734181415626653
FILUSDT:USDT,Short,2025-03-03 18:00:00,2025-03-03 21:00:00,3.23851,3.065118,26.2777028936061,500.6503973069377,Trailing_Win,5,0 days 03:00:00,2055.708710324471,0.01294831053501655
ZILUSDT:USDT,Short,2025-03-03 18:00:00,2025-03-03 22:00:00,0.01363268,0.01276548,31.314800454618872,500.6503973069377,Trailing_Win,5,0 days 04:00:00,2087.0235107790895,0.015233092265136916
ZILUSDT:USDT,Short,2025-03-04 01:00:00,2025-03-04 04:15:00,0.01255484,0.01243482,4.401576175418435,514.7981979453403,Trailing_Win,5,0 days 03:15:00,2091.4250869545085,0.0021090208867728943
FILUSDT:USDT,Short,2025-03-04 01:00:00,2025-03-04 04:30:00,3.017952,2.9789459999999996,6.132139291632746,514.7981979453403,Trailing_Win,5,0 days 03:30:00,2097.557226246141,0.002932038699297701
HBARUSDT:USDT,Short,2025-03-07 00:00:00,2025-03-07 01:00:00,0.23773358,0.22911732,18.208205265012534,517.1742277131306,Trailing_Win,5,0 days 01:00:00,2115.7654315111536,0.008680671515026273
FILUSDT:USDT,Short,2025-03-07 00:00:00,2025-03-07 01:00:00,3.077832,2.991972,13.8956249803846,517.1742277131306,Trailing_Win,5,0 days 01:00:00,2129.661056491538,0.006567658575676649
