Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Raw_Ret,Cum_PnL,HWM,Drawdown_USD
ETHUSDT,1713194100000,1713196800000,Long,3148.4434349999997,3162.827795,2.564152393609851,Hybrid_Flip_Bear,0.004568721114724576,409.061394882758,409.061394882758,0.0
ETHUSDT,1713197700000,1713201300000,Short,3152.552935,3102.6905699999998,13.800687145321607,Hybrid_Flip_Bull,0.015816503648970578,422.8620820280796,422.8620820280796,0.0
ETHUSDT,1713202200000,1713203100000,Long,3099.2288399999998,3112.9927250000005,2.4366266012808375,Hybrid_Flip_Bear,0.004441067668949788,425.2987086293605,425.2987086293605,0.0
ETHUSDT,1713204000000,1713207600000,Short,3109.9642400000002,3071.09478,10.48586399823052,Hybrid_Flip_Bull,0.012498362360591111,435.784572627591,435.784572627591,0.0
ETHUSDT,1713208500000,1713211200000,Long,3085.031745,3102.0581950000005,3.513532746484186,Hybrid_Flip_Bear,0.005519051798282468,439.2981053740752,439.2981053740752,0.0
ETHUSDT,1713213900000,1713222000000,Long,3082.0602599999997,3119.8592900000003,10.251944408770445,Hybrid_Flip_Bear,0.012264208617387834,449.55004978284563,449.55004978284563,0.0
ETHUSDT,1713222900000,1713225600000,Long,3101.5900199999996,3101.92826,-1.8910553110431738,Hybrid_Flip_Bear,0.00010905374269952558,447.6589944718025,449.55004978284563,-1.8910553110431465
ETHUSDT,1713226500000,1713230100000,Long,3077.5580099999997,3105.5764350000004,7.095005352961865,Hybrid_Flip_Bear,0.009104109462424289,454.7539998247644,454.7539998247644,0.0
ETHUSDT,1713231000000,1713236400000,Long,3098.158305,3092.7928300000003,-3.7300954300331037,Hybrid_Flip_Bear,-0.0017318272572903939,451.0239043947313,454.7539998247644,-3.7300954300330886
ETHUSDT,1713237300000,1713241800000,Long,3080.209335,3016.141175,-22.779137025763156,SL_Hit,-0.02079993696272588,428.24476736896816,454.7539998247644,-26.509232455796223
ETHUSDT,1713242700000,1713254400000,Long,3026.3124,3091.0537,19.371408549890667,Hybrid_Flip_Bear,0.021392801351241907,447.6161759188588,454.7539998247644,-7.137823905905577
ETHUSDT,1713255300000,1713262500000,Short,3085.386535,3017.0077499999998,20.13998325334635,Hybrid_Flip_Bull,0.022162145398745097,467.7561591722052,467.7561591722052,0.0
ETHUSDT,1713263400000,1713264300000,Long,3034.926705,3048.3150800000003,2.407021297405748,Hybrid_Flip_Bear,0.004411432730135884,470.1631804696109,470.1631804696109,0.0
ETHUSDT,1713265200000,1713268800000,Long,3061.04976,3070.62392,1.1246097221236022,Hybrid_Flip_Bear,0.0031277374595831855,471.2877901917345,471.2877901917345,0.0
ETHUSDT,1713270600000,1713274200000,Short,3077.450505,3066.0322499999997,1.7065865808295255,Hybrid_Flip_Bull,0.0037102968777072325,472.994376772564,472.994376772564,0.0
ETHUSDT,1713275100000,1713276000000,Long,3068.49348,3081.7383600000003,2.312094911148448,Hybrid_Flip_Bear,0.004316411322470919,475.30647168371246,475.30647168371246,0.0
ETHUSDT,1713276900000,1713282300000,Short,3059.919275,3009.113805,14.58692925158957,Hybrid_Flip_Bull,0.01660353278437394,489.89340093530205,489.89340093530205,0.0
ETHUSDT,1713283200000,1713286800000,Long,3016.277385,3063.34756,13.589781317476639,Hybrid_Flip_Bear,0.01560538670418082,503.4831822527787,503.4831822527787,0.0
ETHUSDT,1713287700000,1713289500000,Short,3070.3440600000004,3043.7210999999998,6.662331165582986,Hybrid_Flip_Bull,0.008671002167750737,510.1455134183617,510.1455134183617,0.0
ETHUSDT,1713290400000,1713294000000,Long,3056.757615,3062.957755,0.026310437440398626,Hybrid_Flip_Bear,0.002028338776216615,510.1718238558021,510.1718238558021,0.0
ETHUSDT,1713294900000,1713297600000,Short,3065.576445,3059.559015,-0.039059642500504976,Hybrid_Flip_Bull,0.001962903260760255,510.1327642133016,510.1718238558021,-0.0390596425004901
ETHUSDT,1713298500000,1713319200000,Long,3067.543005,3090.6139200000002,5.513454268589868,Hybrid_Flip_Bear,0.0075209752438337015,515.6462184818914,515.6462184818914,0.0
ETHUSDT,1713320100000,1713330000000,Long,3078.9887249999997,3110.0042200000003,8.063200054427142,Hybrid_Flip_Bear,0.010073273327754897,523.7094185363186,523.7094185363186,0.0
ETHUSDT,1713330900000,1713333600000,Short,3101.14865,3091.52499,1.100153338344552,Hybrid_Flip_Bull,0.0031032565949394913,524.8095718746631,524.8095718746631,0.0
ETHUSDT,1713334500000,1713335400000,Long,3089.98422,3092.602925,-1.1533658074796518,Hybrid_Flip_Bear,0.0008474816741945428,523.6562060671835,524.8095718746631,-1.153365807479645
ETHUSDT,1713336300000,1713339900000,Short,3087.745355,3076.1973299999995,1.7362138546559343,Hybrid_Flip_Bull,0.003739953808464399,525.3924199218394,525.3924199218394,0.0
ETHUSDT,1713340800000,1713351600000,Long,3080.5595099999996,3064.896785,-7.079292324724376,Hybrid_Flip_Bear,-0.005084376701425802,518.313127597115,525.3924199218394,-7.079292324724406
ETHUSDT,1713352500000,1713354300000,Short,3063.62742,3040.4894849999996,5.544911275471023,Hybrid_Flip_Bull,0.007552463739210233,523.858038872586,525.3924199218394,-1.5343810492533976
ETHUSDT,1713355200000,1713360600000,Long,3036.7876349999997,3051.9532600000002,2.988975587356324,Hybrid_Flip_Bear,0.004993969556913237,526.8470144599423,526.8470144599423,0.0
ETHUSDT,1713361500000,1713362400000,Long,3043.40094,3010.37406,-12.84111287683308,Hybrid_Flip_Bear,-0.010851964841674753,514.0059015831092,526.8470144599423,-12.841112876833108
ETHUSDT,1713363300000,1713364200000,Long,2973.34593,2994.7118950000004,5.178646392819961,Hybrid_Flip_Bear,0.007185832225045007,519.1845479759291,526.8470144599423,-7.66246648401318
ETHUSDT,1713365100000,1713366000000,Short,2979.6994050000003,2954.186355,6.553727569711171,Hybrid_Flip_Bull,0.008562289859570742,525.7382755456404,526.8470144599423,-1.1087389143019664
ETHUSDT,1713366900000,1713369600000,Long,2948.0332799999996,2986.68591,11.098216235198166,Hybrid_Flip_Bear,0.013111327562760927,536.8364917808385,536.8364917808385,0.0
ETHUSDT,1713370500000,1713371400000,Short,2966.65593,2951.485005,3.108699637776969,Hybrid_Flip_Bull,0.005113813451228197,539.9451914186155,539.9451914186155,0.0
ETHUSDT,1713372300000,1713384000000,Long,2951.17485,2993.94228,12.477170869764063,Hybrid_Flip_Bear,0.01449166253229636,552.4223622883796,552.4223622883796,0.0
ETHUSDT,1713384900000,1713386700000,Short,3001.41854,2972.2854,7.6967505438278225,Hybrid_Flip_Bull,0.009706457000828651,560.1191128322075,560.1191128322075,0.0
ETHUSDT,1713387600000,1713394800000,Long,3001.209855,2999.869315,-2.4462198662212997,Hybrid_Flip_Bear,-0.00044666653275405373,557.6728929659862,560.1191128322075,-2.446219866221327
ETHUSDT,1713395700000,1713397500000,Long,2981.91021,2981.7583750000003,-2.050867784177735,Hybrid_Flip_Bear,-5.091870288061572e-05,555.6220251818085,560.1191128322075,-4.497087650399067
ETHUSDT,1713398400000,1713402000000,Long,2976.40746,3007.0157400000003,8.27334870340648,Hybrid_Flip_Bear,0.010283632335742223,563.8953738852149,563.8953738852149,0.0
ETHUSDT,1713403800000,1713412800000,Long,2992.4654849999997,3021.6983950000003,7.759068980540183,Hybrid_Flip_Bear,0.009768837818358541,571.6544428657551,571.6544428657551,0.0
ETHUSDT,1713413700000,1713415500000,Short,3027.2456200000006,3014.1063,2.3360144262098816,Hybrid_Flip_Bull,0.004340354780990872,573.990457291965,573.990457291965,0.0
ETHUSDT,1713416400000,1713421800000,Short,3009.11469,2960.3594399999997,14.18632048551136,Hybrid_Flip_Bull,0.01620252300851988,588.1767777774763,588.1767777774763,0.0
ETHUSDT,1713423600000,1713425400000,Short,2979.66942,2974.86669,-0.389778665446606,Hybrid_Flip_Bull,0.001611833167721115,587.7869991120298,588.1767777774763,-0.38977866544655626
ETHUSDT,1713426300000,1713441600000,Long,2975.1468299999997,3034.2521150000002,17.84647585107608,Hybrid_Flip_Bear,0.01986634219326935,605.6334749631059,605.6334749631059,0.0
ETHUSDT,1713442500000,1713444300000,Long,3015.0667799999997,3022.3680600000002,0.41917650659816896,Hybrid_Flip_Bear,0.0024215981047028714,606.0526514697041,606.0526514697041,0.0
ETHUSDT,1713445200000,1713452400000,Long,3024.6915899999995,3075.411525,14.751861655092096,Hybrid_Flip_Bear,0.01676863028537747,620.8045131247961,620.8045131247961,0.0
ETHUSDT,1713453300000,1713456900000,Long,3059.50899,3076.12117,3.4242585572530317,Hybrid_Flip_Bear,0.005429688245498531,624.2287716820491,624.2287716820491,0.0
ETHUSDT,1713457800000,1713458700000,Short,3063.56745,3061.980225,-1.4824211312859406,Hybrid_Flip_Bull,0.0005180969656797394,622.7463505507632,624.2287716820491,-1.482421131285946
ETHUSDT,1713459600000,1713462300000,Short,3057.1106800000002,3037.768125,4.320743495292808,Hybrid_Flip_Bull,0.006327070565858667,627.067094046056,627.067094046056,0.0
ETHUSDT,1713463200000,1713474000000,Long,3018.28839,3068.7348650000004,14.696889764400606,Hybrid_Flip_Bear,0.016713603367768375,641.7639838104566,641.7639838104566,0.0
ETHUSDT,1713475800000,1713477600000,Short,3067.515475,3063.761115,-0.7773148430488812,Hybrid_Flip_Bull,0.0012239090660171358,640.9866689674077,641.7639838104566,-0.7773148430488845
ETHUSDT,1713478500000,1713481200000,Long,3062.8006349999996,3074.412025,1.7873110242451302,Hybrid_Flip_Bear,0.0037911021263715016,642.7739799916528,642.7739799916528,0.0
ETHUSDT,1713482100000,1713483000000,Short,3065.6364150000004,3064.97172,-1.7833956102063098,Hybrid_Flip_Bull,0.00021682121100469526,640.9905843814465,642.7739799916528,-1.7833956102062984
ETHUSDT,1713483900000,1713486600000,Long,3064.3814249999996,3056.69089,-4.507143661138635,Hybrid_Flip_Bear,-0.0025096533144530883,636.4834407203078,642.7739799916528,-6.290539271344983
ETHUSDT,1713488400000,1713492000000,Short,3009.0947,2923.070805,26.559377378518615,Hybrid_Flip_Bull,0.02858796534386248,663.0428180988265,663.0428180988265,0.0
ETHUSDT,1713492900000,1713494700000,Long,2876.07732,2940.359085,20.328149103793976,Hybrid_Flip_Bear,0.022350499603397373,683.3709672026205,683.3709672026205,0.0
ETHUSDT,1713495600000,1713497400000,Short,2981.9782649999997,2985.11181,-3.0497767511394454,Hybrid_Flip_Bull,-0.0010508275787181635,680.321190451481,683.3709672026205,-3.0497767511394613
ETHUSDT,1713498300000,1713509100000,Long,2979.78915,3100.88878,38.59969490458751,TP_Hit,0.04064033523982734,718.9208853560685,718.9208853560685,0.0
ETHUSDT,1713510000000,1713510900000,Short,3085.47649,3075.89718,1.1015406278464552,Hybrid_Flip_Bull,0.003104645273119575,720.022425983915,720.022425983915,0.0
ETHUSDT,1713512700000,1713513600000,Short,3081.0587,3099.9992249999996,-8.141260624148293,Hybrid_Flip_Bull,-0.006147408032180473,711.8811653597667,720.022425983915,-8.141260624148345
ETHUSDT,1713514500000,1713517200000,Long,3094.68657,3105.9062700000004,1.6218466867229648,Hybrid_Flip_Bear,0.0036254721588818467,713.5030120464896,720.022425983915,-6.519413937425384
ETHUSDT,1713519000000,1713520800000,Long,3094.2063299999995,3094.0222150000004,-2.059443639299617,Hybrid_Flip_Bear,-5.9503142442058904e-05,711.44356840719,720.022425983915,-8.578857576725
ETHUSDT,1713521700000,1713528900000,Long,3092.255355,3114.58193,5.212938733838833,Hybrid_Flip_Bear,0.007220158892731564,716.6565071410289,720.022425983915,-3.365918842886117
ETHUSDT,1713530700000,1713537900000,Long,3099.68907,3077.4605,-9.164054499827547,Hybrid_Flip_Bear,-0.0071712257255531,707.4924526412013,720.022425983915,-12.529973342713674
ETHUSDT,1713538800000,1713544200000,Long,3085.2718649999997,3063.2875900000004,-9.118429650931052,Hybrid_Flip_Bear,-0.007125555206137189,698.3740229902703,720.022425983915,-21.64840299364471
